,precision,recall,f1-score,support
Top,0.953551912568306,0.9830985915492958,0.9680998613037449,355.0
Basal,0.8402061855670103,0.8402061855670103,0.8402061855670103,194.0
Medial,0.8950276243093923,0.8828337874659401,0.888888888888889,367.0
Apical,0.9149560117302052,0.8571428571428571,0.8851063829787233,364.0
Bottom,0.8697674418604651,0.9444444444444444,0.9055690072639224,198.0
accuracy,0.9032476319350473,0.9032476319350473,0.9032476319350473,0.9032476319350473
macro avg,0.8947018352070758,0.9015451732339097,0.897574065200458,1478.0
weighted avg,0.9034127258737905,0.9032476319350473,0.9028275100321811,1478.0
