,precision,recall,f1-score,support
AbdomenCT,0.9473350253807107,0.7435258964143426,0.8331473214285714,2008.0
BreastMRI,0.5203780271707029,0.9628415300546448,0.6756134969325154,1830.0
ChestCT,0.9675620881905728,0.968052738336714,0.9678073510773131,1972.0
CXR,0.9846153846153847,1.0,0.9922480620155039,2048.0
Hand,0.75,0.09104938271604938,0.16238532110091744,1944.0
HeadCT,0.7660496258369437,0.9783702213279678,0.8592887121714159,1988.0
accuracy,0.7916878710771841,0.7916878710771841,0.7916878710771841,0.7916878710771841
macro avg,0.8226566918657191,0.7906399614749531,0.7484150441210394,11790.0
weighted avg,0.8278178051276349,0.7916878710771841,0.7526646032370015,11790.0
